ROWNUMBER,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALES_PRICE,SALE DATE
4,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,392,6, ,C2,153 AVENUE B, ,10009,5,0,5,1900,2,C2,6625.00,2017-07-19
5,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,399,26, ,C7,234 EAST 4TH   STREET, ,10009,28,3,31,1900,2,C7,0.00,2016-12-14
6,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,399,39, ,C7,197 EAST 3RD   STREET, ,10009,16,1,17,1900,2,C7,0.00,2016-12-09
7,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,402,21, ,C4,154 EAST 7TH STREET, ,10009,10,0,10,1913,2,C4,3936.27,2016-09-23
8,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,404,55, ,C2,301 EAST 10TH   STREET, ,10009,6,0,6,1900,2,C2,8000.00,2016-11-17
9,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,405,16, ,C4,516 EAST 12TH   STREET, ,10009,20,0,20,1900,2,C4,0.00,2017-07-20
10,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,406,32, ,C4,210 AVENUE B, ,10009,8,0,8,1920,2,C4,3192.84,2016-09-23
11,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,407,18, ,C7,520 EAST 14TH   STREET, ,10009,44,2,46,1900,2,C7,0.00,2017-07-20
12,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           ,2,379,34, ,D5,141 AVENUE D, ,10009,15,0,15,1920,2,D5,0.00,2017-06-20
13,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           ,2,387,153, ,D9,629 EAST 5TH STREET, ,10009,24,0,24,1920,2,D9,16232.00,2016-11-07
14,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           ,2,394,44, ,D7,181 AVENUE C, ,10009,30,4,34,1910,2,D7,0.00,2017-07-20
15,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           ,2B,400,21, ,D1,530-532 EAST 5TH STREET, ,10009,10,0,10,2009,2,D1,10350.00,2016-10-17
17,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6,"327 EAST 3 STREET, 1C", ,10009,0,0,0,1920,2,C6,499.00,2017-03-10
19,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6,"327 EAST 3RD STREET, 5A", ,10009,0,0,0,1920,2,C6,529.50,2017-06-09
20,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6,"327 EAST 3 STREET, 2E", ,10009,0,0,0,1920,2,C6,423.00,2017-07-14
21,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,46, ,C6,"317 EAST 3RD STREET, 12", ,10009,0,0,0,1925,2,C6,501.00,2017-03-16
22,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,49, ,C6,"311 EAST 3RD STREET, 17", ,10009,0,0,0,1920,2,C6,450.00,2016-09-01
23,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,373,49, ,C6,"311 EAST 3RD, 22", ,10009,0,0,0,1920,2,C6,510.00,2017-08-17
24,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,374,8, ,C6,"702 EAST 5TH STREET, 5E", ,10009,0,0,0,1900,2,C6,0.00,2016-09-07
25,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,375,30, ,C6,"742 EAST 6TH STREET, 1", ,10009,0,0,0,1902,2,C6,350.00,2017-08-30
26,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,14, ,C6,244 EAST 7TH STREET, ,10009,24,0,24,1928,2,C6,11900.00,2017-06-21
27,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,14, ,C6,244 EAST 7TH STREET, ,10009,0,0,0,1928,2,C6,11900.00,2017-06-21
28,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,16, ,C6,"248 EAST 7TH STREET, 24", ,10009,0,0,0,1928,2,C6,350.00,2017-01-30
29,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,16, ,C6,"248 EAST 7TH STREET, 2", ,10009,0,0,0,1928,2,C6,404.00,2017-07-07
30,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,19, ,C6,"254 EAST  7TH STREET, 4", ,10009,0,0,0,1910,2,C6,535.00,2017-06-21
31,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,377,54, ,C6,"267 EAST 7 ST, 4", ,10009,0,0,0,1920,2,C6,1400.00,2017-08-04
32,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,377,60, ,C6,"255 EAST 7TH STREET, 3F", ,10009,0,0,0,1900,2,C6,866.00,2017-01-09
33,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,379,15, ,C6,"414 EAST 10TH   STREET, 4E", ,10009,0,0,0,1930,2,C6,355.00,2017-04-18
34,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,379,15, ,C6,"414 EAST 10TH STREET, 1C", ,10009,0,0,0,1930,2,C6,0.00,2017-06-19
35,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,389,21, ,C6,"206 EAST 7TH STREET, 17,18", ,10009,0,0,0,1900,2,C6,805.00,2017-08-28
36,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,389,49, ,C6,"623 EAST 6TH STREET, 8", ,10009,0,0,0,1910,2,C6,475.00,2017-05-10
37,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,389,50, ,C6,"621 EAST 6TH STREET, 6", ,10009,0,0,0,1920,2,C6,450.00,2016-12-02
38,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,389,50, ,C6,"621 EAST 6TH STREET, 10", ,10009,0,0,0,1920,2,C6,450.00,2017-01-31
39,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,390,55, ,C6,"199 EAST 7TH   STREET, 2C", ,10009,0,0,0,1935,2,C6,810.00,2017-06-28
40,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,391,14, ,C6,"616 EAST 9TH STREET, 4W", ,10009,0,0,0,1910,2,C6,0.00,2016-12-07
41,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,391,14, ,C6,"618 EAST 9TH STREET, 2 E", ,10009,0,0,0,1910,2,C6,300.00,2017-08-24
42,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,391,14, ,C6,"620 EAST 9TH STREET, 3E", ,10009,0,0,0,1910,2,C6,300.00,2017-08-30
43,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,391,48, ,C6,"323 EAST 8TH STREET, 2A", ,10009,0,0,0,1910,2,C6,579.00,2017-06-27
44,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,391,57, ,C6,"303 EAST 8TH STREET, 3F", ,10009,0,0,0,1900,2,C6,1500.00,2017-03-17
45,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,393,39, ,C6,"163 AVENUE C, 2", ,10009,0,0,0,1900,2,C6,25.00,2017-06-14
46,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,394,52, ,C6,"633 EAST 11TH STREET, 12", ,10009,0,0,0,1937,2,C6,512.00,2017-01-17
47,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,394,52, ,C6,"633 EAST 11TH STREET, 23", ,10009,0,0,0,1937,2,C6,410.00,2017-01-11
48,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,394,52, ,C6,"633 EAST 11TH STREET, 19", ,10009,0,0,0,1937,2,C6,500.00,2017-04-21
49,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,394,52, ,C6,"633 E 11TH ST, 17", ,10009,0,0,0,1937,2,C6,510.00,2017-06-29
50,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6,"634 EAST 14TH STREET, 1", ,10009,0,0,0,1920,2,C6,475.00,2016-10-05
51,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6,"634 EAST 14TH STREET, 4", ,10009,0,0,0,1920,2,C6,789.02,2017-02-02
52,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6,"626 EAST 14TH STREET, 5", ,10009,0,0,0,1920,2,C6,0.00,2017-03-20
53,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6,"632 EAST 14TH STREET, 15", ,10009,0,0,0,1920,2,C6,0.00,2017-03-20
54,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6,"632 EAST 14TH STREET, 3", ,10009,0,0,0,1920,2,C6,425.00,2017-04-13
55,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6,"626 EAST 14TH STREET, 9", ,10009,0,0,0,1920,2,C6,490.00,2017-06-29
56,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,397,25, ,C6,"185 EAST 2ND STREET, C", ,10009,0,0,0,1915,2,C6,409.00,2017-06-06
57,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,397,25, ,C6,"185 EAST 2ND STREET, 2B", ,10009,0,0,0,1915,2,C6,415.00,2017-07-17
58,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,398,58, ,C6,"162 EAST 2ND STREET, 3A", ,10009,0,0,0,1950,2,C6,420.00,2016-12-06
59,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,398,58, ,C6,"162 EAST 2ND STREET, 1C", ,10009,0,0,0,1950,2,C6,435.00,2017-07-13
60,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,400,45, ,C6,"225 EAST 4TH STREET, 1", ,10009,0,0,0,1937,2,C6,575.00,2017-05-17
61,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,400,45, ,C6,"225 EAST 4TH STREET, 20", ,10009,0,0,0,1937,2,C6,605.00,2017-08-28
62,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,401,12, ,C6,"504 EAST 6TH STREET, 1", ,10009,0,0,0,1900,2,C6,799.00,2017-05-31
63,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,401,12, ,C6,"504 EAST 6TH STREET, 5", ,10009,0,0,0,1900,2,C6,800.00,2017-07-12
64,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,401,50, ,C6,"527 EAST 5 STREET, 1", ,10009,0,0,0,1900,2,C6,54.99,2017-01-19
65,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,401,57, ,C6,"513 EAST 5TH STREET, 3A", ,10009,0,0,0,1929,2,C6,410.00,2016-12-14
66,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,402,47, ,C6,"537 EAST 6TH STREET, 5", ,10009,0,0,0,1900,2,C6,1475.00,2017-05-03
67,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,404,10, ,C6,"512 EAST 11TH STREET, 5C", ,10009,0,0,0,1929,2,C6,335.00,2016-09-29
68,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,404,21, ,C6,"534 EAST 11TH STREET, 21", ,10009,0,0,0,1920,2,C6,490.00,2017-08-07
69,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,404,26, ,C6,"544 EAST 11TH STREET, 3A", ,10009,0,0,0,1928,2,C6,750.00,2017-01-20
70,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,404,27, ,C6,"546 EAST 11TH STREET, 2B", ,10009,0,0,0,1900,2,C6,780.00,2017-02-23
71,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,404,57, ,C6,"297 EAST 10TH STREET, 2", ,10009,0,0,0,1925,2,C6,2400.00,2016-09-12
72,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,405,51, ,C6,"519 EAST 11TH STREET, 4W", ,10009,0,0,0,1910,2,C6,380.00,2017-08-09
73,1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,406,50, ,C6,"527 EAST 12TH   STREET, E2", ,10009,0,0,0,1901,2,C6,430.00,2017-04-07
74,1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,379,45, ,D0,"735 EAST 9 STREET, 3RW", ,10009,0,0,0,1920,2,D0,499.90,2017-04-13
75,1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,386,36, ,D0,"300 EAST 4TH STREET, 1D", ,10009,0,0,0,1940,2,D0,1400.00,2017-05-11
76,1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,386,58, ,D4,"223 EAST 3RD STREET, 2D", ,10009,0,0,0,1900,2,D4,694.00,2016-09-29
77,1,ALPHABET CITY,11A CONDO-RENTALS                           ,2,385,1102, ,RR,254 EAST 2ND STREET,RES,10009,47,0,47,2005,2,RR,28000.00,2016-10-13
78,1,ALPHABET CITY,11A CONDO-RENTALS                           , ,394,1602, , ,183-189 AVENUE B, ,0,0,0,0,0,2,RR,8058.92,2017-08-09
79,1,ALPHABET CITY,11A CONDO-RENTALS                           ,2,397,1301, ,RR,250 EAST HOUSTON STREET,UNIT1,10002,132,0,132,1989,2,RR,52625.00,2016-10-19
80,1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS              ,2,386,1002, ,R2,211 EAST 3RD   STREET,1B,10009,1,0,1,0,2,R2,620.00,2016-12-30
81,1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS              ,2,398,1039, ,R2,182 EAST 2ND   STREET,6E,10009,1,0,1,0,2,R2,0.00,2017-02-24
82,1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS              ,2,405,1211, ,R2,511 EAST 11TH STREET,C3,10009,1,0,1,0,2,R2,0.00,2017-07-20
83,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1003, ,R4,324 EAST 4TH STREET,3A,10009,1,0,1,1920,2,R4,762.67,2016-09-21
84,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1004, ,R4,324 EAST 4TH STREET,3B,10009,1,0,1,1920,2,R4,772.85,2016-09-12
85,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1005, ,R4,324 EAST 4TH   STREET,4A,10009,1,0,1,1920,2,R4,1034.88,2016-11-03
86,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1006, ,R4,324 EAST 4TH   STREET,4B,10009,1,0,1,1920,2,R4,0.00,2016-11-03
87,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1007, ,R4,324 EAST 4TH   STREET,5A,10009,1,0,1,1920,2,R4,0.00,2016-11-03
88,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1008, ,R4,324 EAST 4TH   STREET,5B,10009,1,0,1,1920,2,R4,0.00,2016-11-03
89,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1009, ,R4,324 EAST 4TH STREET,6A,10009,1,0,1,1920,2,R4,800.00,2016-09-07
90,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1011, ,R4,324 EAST 4TH   STREET,PH,10009,1,0,1,1920,2,R4,2295.76,2016-09-01
91,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,375,1004, ,R4,754 EAST 6TH   STREET,2B,10009,1,0,1,0,2,R4,875.00,2017-03-31
92,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1001, ,R4,399 EAST 8TH   STREET,1A,10009,1,0,1,2014,2,R4,0.00,2017-05-25
93,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1002, ,R4,399 EAST 8TH   STREET,1B,10009,1,0,1,2014,2,R4,0.00,2017-05-25
94,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1003, ,R4,399 EAST 8TH   STREET,2A,10009,1,0,1,2014,2,R4,0.00,2017-07-14
95,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1004, ,R4,399 EAST 8TH   STREET,2B,10009,1,0,1,2014,2,R4,0.00,2017-07-14
96,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1005, ,R4,399 EAST 8TH   STREET,2C,10009,1,0,1,2014,2,R4,0.00,2017-05-25
97,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1006, ,R4,399 EAST 8TH   STREET,2D,10009,1,0,1,2014,2,R4,0.00,2017-05-25
98,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1007, ,R4,399 EAST 8TH   STREET,3A,10009,1,0,1,2014,2,R4,0.00,2017-05-25
99,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1008, ,R4,399 EAST 8TH   STREET,3B,10009,1,0,1,2014,2,R4,701.34,2017-02-14
100,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1009, ,R4,399 EAST 8TH   STREET,3C,10009,1,0,1,2014,2,R4,0.00,2017-05-25
101,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1010, ,R4,399 EAST 8TH   STREET,3D,10009,1,0,1,2014,2,R4,0.00,2017-07-14
102,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1011, ,R4,399 EAST 8TH   STREET,4A,10009,1,0,1,2014,2,R4,0.00,2017-05-25
103,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1012, ,R4,399 EAST 8TH   STREET,4B,10009,1,0,1,2014,2,R4,0.00,2017-05-25
104,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1013, ,R4,399 EAST 8TH   STREET,4C,10009,1,0,1,2014,2,R4,753.42,2017-02-01
105,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1014, ,R4,399 EAST 8TH   STREET,4D,10009,1,0,1,2014,2,R4,0.00,2017-07-14
106,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1015, ,R4,399 EAST 8TH   STREET,5A,10009,1,0,1,2014,2,R4,0.00,2017-05-25
107,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1016, ,R4,399 EAST 8TH   STREET,5B,10009,1,0,1,2014,2,R4,0.00,2017-05-25
108,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1017, ,R4,399 EAST 8TH   STREET,5C,10009,1,0,1,2014,2,R4,771.98,2017-05-08
109,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1018, ,R4,399 EAST 8TH   STREET,5D,10009,1,0,1,2014,2,R4,0.00,2017-07-14
110,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1020, ,R4,399 EAST 8TH   STREET,6B,10009,1,0,1,2014,2,R4,0.00,2017-05-25
111,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1021, ,R4,399 EAST 8TH   STREET,6C,10009,1,0,1,2014,2,R4,0.00,2017-05-25
112,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1022, ,R4,399 EAST 8TH   STREET,6D,10009,1,0,1,2014,2,R4,0.00,2017-07-14
113,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1023, ,R4,399 EAST 8TH   STREET,7A,10009,1,0,1,2014,2,R4,0.00,2017-07-14
114,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1024, ,R4,399 EAST 8TH   STREET,7B,10009,1,0,1,2014,2,R4,0.00,2017-07-14
115,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1025, ,R4,399 EAST 8TH   STREET,7C,10009,1,0,1,2014,2,R4,0.00,2017-07-14
116,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1026, ,R4,399 EAST 8TH   STREET,7D,10009,1,0,1,2014,2,R4,1247.36,2017-01-31
117,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1027, ,R4,399 EAST 8TH   STREET,8A,10009,1,0,1,2014,2,R4,0.00,2017-05-25
118,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1028, ,R4,399 EAST 8TH   STREET,8B,10009,1,0,1,2014,2,R4,0.00,2017-05-25
119,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1029, ,R4,399 EAST 8TH   STREET,8C,10009,1,0,1,2014,2,R4,0.00,2017-05-25
120,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,384,1222, ,R4,310 EAST HOUSTON STREET,PHC,10002,1,0,1,2005,2,R4,2150.00,2017-08-14
121,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,390,1009, ,R4,217 EAST 7TH STREET,2D,10009,1,0,1,0,2,R4,550.00,2017-06-23
122,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,390,1014, ,R4,217 EAST 7TH   STREET,5A-B,10009,1,0,1,0,2,R4,1085.00,2017-03-27
123,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1046, ,R4,143 AVENUE B,9D,10009,1,0,1,1928,2,R4,0.00,2017-02-24
124,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1051, ,R4,143 AVENUE B,10B,10009,1,0,1,1928,2,R4,0.00,2017-04-22
125,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1052, ,R4,143 AVENUE B,10C,10009,1,0,1,1928,2,R4,0.00,2017-04-22
126,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1113, ,R4,631 EAST 9TH   STREET,1A&CA,10009,1,0,1,2005,2,R4,910.00,2017-07-06
127,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1507, ,R4,189 AVENUE C,3B,10009,1,0,1,1910,2,R4,910.00,2017-06-12
128,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1510, ,R4,189 AVENUE C,3E,10009,1,0,1,1910,2,R4,730.00,2017-06-22
129,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1513, ,R4,189 AVENUE C,4C,10009,1,0,1,1910,2,R4,725.00,2017-02-17
130,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1523, ,R4,189 AVENUE C,6C,10009,1,0,1,1910,2,R4,0.00,2016-09-08
131,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1531, ,R4,189 AVENUE C,8E,10009,1,0,1,1910,2,R4,1300.00,2016-12-23
132,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1536, ,R4,189 AVENUE C,10D,10009,1,0,1,1910,2,R4,770.00,2017-08-24
133,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,396,1012, ,R4,215 AVENUE B,1012,10009,1,0,1,2008,2,R4,1750.00,2017-08-14
134,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,397,1018, ,R4,175 EAST 2ND STREET,4D,10009,1,0,1,0,2,R4,1150.00,2017-07-24
135,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,397,1104, ,R4,240 EAST HOUSTON STREET,2B,10002,1,0,1,0,2,R4,2085.00,2017-01-09
136,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,397,1117, ,R4,240 EAST HOUSTON STREET,5D,10002,1,0,1,0,2,R4,0.00,2016-10-08
137,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1302, ,R4,100 AVENUE A,2A,10009,1,0,1,2014,2,R4,1680.11,2016-12-08
138,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1303, ,R4,100 AVENUE A,2B,10009,1,0,1,2014,2,R4,1150.00,2017-04-25
139,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1304, ,R4,100 AVENUE A,2C,10009,1,0,1,2014,2,R4,1308.45,2016-12-13
140,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1305, ,R4,100 AVENUE A,2D,10009,1,0,1,2014,2,R4,1863.40,2017-05-08
141,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1306, ,R4,100 AVENUE A,2E,10009,1,0,1,2014,2,R4,1603.74,2017-01-12
142,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1307, ,R4,100 AVENUE A,3A,10009,1,0,1,2014,2,R4,1781.94,2016-12-07
143,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1308, ,R4,100 AVENUE A,3B,10009,1,0,1,2014,2,R4,1245.00,2017-03-03
144,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1309, ,R4,100 AVENUE A,3C,10009,1,0,1,2014,2,R4,1200.00,2017-01-25
145,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1310, ,R4,100 AVENUE A,3D,10009,1,0,1,2014,2,R4,1900.00,2016-12-13
146,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1311, ,R4,100 AVENUE A,3E,10009,1,0,1,2014,2,R4,1150.00,2016-12-19
147,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1312, ,R4,100 AVENUE A,4A,10009,1,0,1,2014,2,R4,1800.00,2016-12-16
148,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1313, ,R4,100 AVENUE A,4B,10009,1,0,1,2014,2,R4,1318.63,2017-01-20
149,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1314, ,R4,100 AVENUE A,4C,10009,1,0,1,2014,2,R4,1385.00,2016-12-09
150,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1315, ,R4,100 AVENUE A,4D,10009,1,0,1,2014,2,R4,0.00,2017-01-20
151,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1315, ,R4,100 AVENUE A,4D,10009,1,0,1,2014,2,R4,2150.00,2016-12-29
